,keyword,addition
men shorts -> men,2,2
wireless keyboard mouse -> keyboard,2,2
fender guitar -> fender,2,2
iphone 5 se -> 5,2,2
mee mee -> mee,2,2
external hard disks -> external,2,2
reebok running shoes -> running,2,2
intex mouse -> intex,2,2
quantum usb mouse -> quantum,2,2
redtape shoes -> redtape,2,2
mi mobile -> mi,2,2
reading table -> reading,2,2
rolex watches -> rolex,2,2
mi smartphones -> mi,2,2
men purse -> men,2,2
intel mother board -> intel,2,2
bajaj mixer grinder -> bajaj,2,2
room air cooler -> air,2,2
dell laptops -> dell,2,2
redchief shoes -> redchief,2,2
designer saree -> designer,2,2
red wine -> red,2,2
exhaust fans -> exhaust,2,2
epson color printer l210 -> color,2,2
eveready led -> eveready,2,2
mason jar mug -> jar,2,2
dell mouse -> dell,2,2
 yo yo -> yo,2,2
rajguru sarees -> rajguru,2,2
baseball caps -> baseball,2,2
men shirts -> men,2,2
rosra couple watches -> couple,2,2
puma t shirts -> puma,2,2
wireless laser mouse -> laser,2,2
microsoft mouse -> microsoft,2,2
men sunglass -> men,2,2
face mask -> face,2,2
micromax mobile charger -> micromax,2,2
micromax mobile phones -> micromax,2,2
micromax led tv -> led,2,2
jbl sound system -> jbl,2,2
bata power shoes offers -> power,2,2
erd power bank -> erd,2,2
mi mobiles -> mi,2,2
intex powerbank -> intex,2,2
bed study table -> study,2,2
mobile power bank -> mobile,2,2
ddr2 ram -> ddr2,2,2
fila flip flops -> fila,2,2
bike gloves -> bike,2,2
bath towels -> bath,2,2
bar stool -> bar,2,2
men denim shirts -> denim,2,2
reebok socks -> reebok,2,2
backpack bag -> backpack,2,2
jaquar divertor exposed lyr -> lyr,1,1
mi note 4g metal back cover -> back,1,1
ladies night wear -> night,1,1
kurtas for women -> for,1,1
ladies mini purse -> mini,1,1
ladies knee lenght dress -> knee,1,1
ladies heel shoes -> heel,1,1
ladies nighty slip -> ladies,1,1
ladies half leggings -> half,1,1
jaquar overhead shower -> overhead,1,1
jbl powered speakers -> powered,1,1
ladies georgette sarees -> georgette,1,1
janasya women s brasso saree -> janasya,1,1
krishna fab yellow faux georgette sarees -> georgette,1,1
krishna phone covers for samsung a5 -> krishna,1,1
kolhapuri brown slipper -> brown,1,1
ladies punjabi suits -> punjabi,1,1
knife light keychain -> knife,1,1
ladies pump shoes -> pump,1,1
ladies printed long shirt -> long,1,1
kohler rain shower -> kohler,1,1
jbl speaker -> jbl,1,1
ladies pattu sarees -> pattu,1,1
ladies party wear girls frock suits -> frock,1,1
ladies pant -> ladies,1,1
mens wallets -> mens,1,1
korni sarees -> korni,1,1
ladies orange shirts -> orange,1,1
jbl soundbar -> jbl,1,1
ladies office bags -> ladies,1,1
mens walking shoes in puma -> in,1,1
janasya blue saree -> blue,1,1
ladies georgette kurti -> georgette,1,1
janasya brasso sarees -> brasso,1,1
jbl portable bluetooth speakers -> jbl,1,1
ladies digital watches -> digital,1,1
ladies formal shoes -> formal,1,1
l220 epson ink -> epson,1,1
jbl car stereo -> car,1,1
ladies 24k gold chain -> 24k,1,1
lace zari border -> lace,1,1
mens wear gray regular formal trouser -> gray,1,1
kurlon pillow -> kurlon,1,1
kurta dress for men -> dress,1,1
mens white jeans -> mens,1,1
kurta for men -> for,1,1
l weighing scale -> l,1,1
ladies for shoes -> for,1,1
l multimeter -> l,1,1
kurta salwar suit women -> suit,1,1
kurtis combo xxl -> combo,1,1
kurti with front slit -> front,1,1
jaspo junior skates -> junior,1,1
mi note 3 16gb gold mobiles -> gold,1,1
jay fashion being bhagalpuri silk saree -> being,1,1
jbl bluetooth speakers speakers -> jbl,1,1
kurlon mattress -> kurlon,1,1
kurlon matresses -> kurlon,1,1
ladies belt watches -> belt,1,1
kurlon chimera pillow -> chimera,1,1
krupa enterprise analog 3 watch -> 3,1,1
ladies floter sandals -> floter,1,1
kurti with front long zipper -> front,1,1
ladies cotton palazzo full suit -> full,1,1
ladies cotton kurtis in flipkart -> cotton,1,1
ktm bike gloves -> bike,1,1
ladies cotton hipster panties set of two -> hipster,1,1
ladies combo offer watches -> offer,1,1
ladies chudidar top -> chudidar,1,1
ladies cap t-shirt -> cap,1,1
jbl go wireless bluetooth portable speaker -> bluetooth,1,1
ladies bike helmet -> bike,1,1
jasmine fragrance perfume for women -> fragrance,1,1
kundan maang tikka -> kundan,1,1
kundli software hindi -> hindi,1,1
kunika saree black chiffon saree -> black,1,1
jasmine oil -> jasmine,1,1
ladies sandal -> ladies,1,1
kali linux -> kali,1,1
ladies sandel -> ladies,1,1
lancer sandals -> lancer,1,1
mens strips t shirts offers -> strips,1,1
laptop printed bags -> laptop,1,1
mi note prime -> mi,1,1
j3 3d back cover -> 3d,1,1
laptop portable stand -> portable,1,1
mens sun glasses raybangg -> raybangg,1,1
laptop in lenovo -> in,1,1
laptop external hdd -> external,1,1
laptop corei3 with windows 8 -> corei3,1,1
laptop charger lenovo b460e -> laptop,1,1
laptop back cover -> back,1,1
laptop 3d skin -> 3d,1,1
lapguard sony vgp-bps22 a 6 cell battery -> lapguard,1,1
mens sunglasses full size -> full,1,1
lapcare in screen -> in,1,1
