,keyword,addition
cream -> wash,8,8
mask -> masks,8,8
820 -> 826,8,8
4k -> x,8,8
bagpack -> bagpacks,8,8
ipad -> iphone,8,8
4s -> 5c,8,8
headphone -> headsets,8,8
chargers -> cover,8,8
clutch -> clutches,8,8
lap -> laptop,8,8
dress -> frock,8,8
panasonic -> redmi,8,8
dress -> frocks,8,8
htc -> intex,8,8
protein -> proteins,8,8
sg -> ss,8,8
sneaker -> sports,8,8
trousers -> tshirt,8,8
pack -> packs,8,8
mobile -> smart,8,8
inverter -> inverters,8,8
battery -> covers,8,8
lakme -> pampers,8,8
cases -> combo,8,8
switch -> switches,8,8
motor -> pump,8,8
10 -> 50,8,8
jeans -> pants,8,8
charger -> mobile,8,8
battery -> battry,8,8
body -> car,8,8
lace -> laces,8,8
540 -> 550,8,8
a8 -> j7,8,8
keyboard -> keybord,8,8
battery -> cases,8,8
board -> book,8,8
1000 -> 2000,8,8
7 -> 9,8,8
headphone -> mobile,8,8
apple -> iphone,8,8
table -> wall,8,8
15 -> 16,8,8
cup -> cups,8,8
wi-fi -> wifi,8,8
1000 -> 500,8,8
black -> gray,8,8
monitors -> mouse,8,8
curler -> dryer,8,8
laptop -> notebook,8,8
shoes -> shower,8,8
a7 -> e7,8,8
desktop -> desktops,8,8
capri -> capris,8,8
jewellary -> jewellery,8,8
speaker -> woofer,8,8
bags -> batteries,8,8
juicer -> juicers,8,8
set -> table,8,8
guard -> protector,8,8
12 -> 18,8,8
purse -> wallet,8,8
16gb -> 4g,8,8
lenevo -> lenovo,8,8
liner -> liners,8,8
locket -> lockets,8,8
100 -> 200,8,8
toys -> watches,8,8
htc -> micromax,8,8
microsoft -> nokia,8,8
chairs -> table,8,8
phon -> phone,8,8
vivo -> xolo,8,8
hd -> hdd,8,8
coole -> cooler,8,8
coller -> cooler,8,8
p1 -> p1m,8,8
smartphone -> smartphones,8,8
mobile -> shoes,8,8
cap -> hat,8,8
projecter -> projector,8,8
accessories -> acessories,8,8
red -> yellow,8,8
cloth -> clothes,8,8
earings -> earrings,7,7
dress -> sarees,7,7
earing -> earings,7,7
chip -> chips,7,7
lenovo -> moto,7,7
sandel -> shoes,7,7
idol -> idols,7,7
bumper -> cases,7,7
a5 -> j5,7,7
male -> men,7,7
earphone -> headset,7,7
jug -> jugs,7,7
maker -> makers,7,7
wifi -> wi-fi,7,7
cap -> cover,7,7
equipment -> equipments,7,7
accessories -> bike,7,7
dress -> suits,7,7
cases -> mobile,7,7
offer -> pack,7,7
13 -> 15,7,7
dress -> kurti,7,7
casual -> causal,7,7
earings -> earring,7,7
children -> girls,7,7
chappals -> sandals,7,7
strap -> straps,7,7
7000 -> 8000,7,7
chiffon -> georgette,7,7
capris -> shorts,7,7
scale -> scales,7,7
oil -> shampoo,7,7
saree -> shoes,7,7
s3 -> s5,7,7
ink -> printer,7,7
128gb -> 64gb,7,7
dresses -> frocks,7,7
sandal -> shoe,7,7
16 -> 64,7,7
smartphone -> tablet,7,7
camera -> dslr,7,7
slippers -> sneakers,7,7
chai -> chair,7,7
s4 -> s6,7,7
saree -> shirts,7,7
infocus -> mi,7,7
case -> pouch,7,7
lg -> onida,7,7
sandisk -> sony,7,7
8gb -> accessories,7,7
22 -> 24,7,7
modem -> router,7,7
jeans -> kurti,7,7
shirt -> shorts,7,7
bo -> box,7,7
225 -> 230,7,7
m350 -> m370,7,7
lakme -> loreal,7,7
360 -> one,7,7
blue -> grey,7,7
pink -> yellow,7,7
blue -> gray,7,7
pants -> trousers,7,7
lahenga -> lehenga,7,7
tie -> ties,7,7
z2 -> z3,7,7
dumbbells -> dumbells,7,7
shaver -> shavers,7,7
plates -> set,7,7
pin -> pins,7,7
220 -> 222,7,7
shirt -> tops,7,7
shirts -> tops,7,7
phone -> tv,7,7
htc -> iphone,7,7
phones -> smartphone,7,7
mobile -> tab,7,7
shirts -> watches,7,7
spray -> wax,7,7
books -> box,7,7
shirts -> top,7,7
tablet -> toys,7,7
gray -> grey,7,7
medium -> small,7,7
21 -> 50,7,7
graphic -> graphics,7,7
lamps -> lights,7,7
tube -> tubes,7,7
body -> case,7,7
godrej -> lg,7,7
trimer -> trimmer,7,7
bags -> handbags,7,7
basket -> box,7,7
bicycle -> cycles,7,7
speakers -> spekers,7,7
hob -> hobs,7,7
glasses -> goggles,7,7
printer -> scanner,7,7
glass -> screen,7,7
price -> prise,7,7
300 -> 400,7,7
mobiles -> shoes,7,7
j3 -> mobile,7,7
be -> bed,7,7
j3 -> s7,7,7
cy -> cya,7,7
j7 -> on5,7,7
poster -> posters,7,7
tools -> toys,7,7
mi4 -> mi5,7,7
karbon -> karbonn,7,7
2gb -> 3gb,7,7
d5200 -> d5300,7,7
5 -> 6s,7,7
blanket -> blankets,7,7
pant -> trouser,7,7
cooler -> cover,7,7
jeans -> men,7,7
5 -> 5c,7,7
spoon -> spoons,7,7
puma -> sports,7,7
fuson -> printvisa,7,7
bikes -> cycle,7,7
pum -> puma,7,7
yuphoria -> yureka,7,7
black -> casual,7,7
black -> bumper,7,7
ps4 -> xbox,7,7
gloves -> helmet,7,7
ps4 -> psp,7,7
razor -> razors,7,7
m -> m2,7,7
phone -> pouch,7,7
mobile -> moto,7,7
iball -> intex,7,7
bra -> bracelet,7,7
shorts -> tshirts,7,7
box -> brush,7,7
20 -> 25,7,7
4000 -> 5000,7,7
mobile -> offer,7,7
x -> x2,7,7
cover -> plus,7,7
tees -> tshirt,7,7
pens -> phone,7,7
cover -> phones,7,7
mobile -> prime,7,7
shoes -> sports,7,7
clip -> clips,7,7
430 -> 435,7,7
pendrive -> phone,7,7
mop -> mops,7,7
kids -> kit,7,7
shoes -> studs,7,7
bag -> basket,7,7
orange -> yellow,7,7
mobile -> pendrive,7,7
face -> facial,7,7
shoes -> short,7,7
shoes -> trimmer,7,7
covers -> dual,7,7
42 -> 43,7,7
1s -> 2,7,7
cover -> skin,7,7
asus -> gionee,7,7
cotton -> georgette,7,7
ring -> rod,7,7
htc -> samsung,7,7
bags -> battery,7,7
jbl -> philips,7,7
flask -> flasks,7,7
mobaile -> mobile,7,7
acer -> dell,7,7
laptop -> printer,7,7
cotton -> silk,7,7
mobile -> samsung,7,7
m8 -> m9,7,7
bag -> battery,7,7
redmi -> samsung,7,7
flap -> flip,7,7
apron -> aprons,6,6
man -> offer,6,6
batman -> superman,6,6
sleepers -> slippers,6,6
back -> black,6,6
carpet -> carpets,6,6
tab -> table,6,6
micromax -> mobiles,6,6
panel -> panels,6,6
micro -> mini,6,6
sleeper -> slipper,6,6
pendrive -> shoes,6,6
43w800c -> 43w800d,6,6
mi4i -> micromax,6,6
girl -> ladies,6,6
girl -> men,6,6
32 -> 8,6,6
bean -> beans,6,6
seat -> seats,6,6
mobiles -> oppo,6,6
pendant -> pendants,6,6
magnet -> magnets,6,6
battery -> inverter,6,6
50 -> 55,6,6
heels -> sandals,6,6
mouse -> pendrive,6,6
70d -> 750d,6,6
battery -> bike,6,6
mobile -> mobilephone,6,6
study -> table,6,6
intex -> jbl,6,6
kids -> mens,6,6
12w -> 9w,6,6
back -> mobile,6,6
40 -> 42,6,6
4006 -> 4011,6,6
harpic -> lizol,6,6
headphones -> headphone,6,6
band -> watch,6,6
mobile -> tv,6,6
mixer -> mixers,6,6
